Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1tH8YWCxL1rPXJwftgUhNp,"ככה וככה","בגלגול הזה","שלום חנוך",1991-03-01,261040,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:39:43Z,"מזרחית","NMC United Entertainment Ltd.",0.684,0.598,4,-11.118,0,0.0274,0.0326,0.000121,0.0484,0.713,123.529,4
spotify:track:0eW8YUzutBJU6UTvqes7x3,"רואים רחוק, רואים שקוף","המיטב","מאיר בנאי",2018-01-14,271440,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:40:02Z,"מזרחית","NMC United Entertainment Ltd.",0.255,0.443,10,-9.747,0,0.0358,0.456,0,0.122,0.183,77.797,3
spotify:track:2K6JIvH3uzjD6mIlgYO1cb,"ככלות הקול והתמונה","דני בסן","דני בסן",1985-01-01,284333,39,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:40:17Z,"","Helicon Music",0.572,0.592,8,-11.251,1,0.0318,0.291,0.0002,0.0831,0.355,146.483,4
spotify:track:4AdIeOsbSY6MRI2DesouLv,"הצל ואני","פחות אבל כואב","יהודה פוליקר",1990-12-01,254000,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:40:30Z,"מזרחית","NMC United Entertainment Ltd.",0.623,0.559,6,-11.701,0,0.0293,0.117,0.000568,0.199,0.807,133.296,4
spotify:track:7DkaE4o28lPoQJhTQfGSHY,"אהבתיה","אהבתיהם","שלמה ארצי",2000-04-09,241866,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:40:43Z,"מזרחית","Hed Arzi Ltd",0.866,0.395,4,-11.419,0,0.0503,0.366,0.000015,0.115,0.572,106.151,4
spotify:track:12PWNcUvXgbg3er6MmPgwr,"השיר שיביא לך אהבה","השירים שיביאו לכם אהבה - מבחר","גלי עטרי",2001-01-17,252480,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:41:09Z,"מזרחית","NMC United Entertainment Ltd.",0.583,0.789,9,-6.982,1,0.0365,0.221,0,0.0906,0.54,95.124,4
spotify:track:61Ozkao9beGZYBHsHEHcYe,"שיר אהבה בדואי","שיחות סלון","דויד ברוזה;יהונתן גפן",2019-05-29,221988,40,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:41:32Z,"מזרחית,Anti-folk","Unicell",0.529,0.492,0,-13.835,0,0.0422,0.762,0.0000572,0.29,0.628,78.375,4
spotify:track:2XnkR1fT4eM8iHKEmaJF1U,"יותר טוב כלום מכמעט","יותר טוב כלום מכמעט","עברי לידר",1999-01-01,214293,30,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:42:07Z,"מזרחית","Helicon Music",0.42,0.643,5,-7.398,1,0.0275,0.0328,0.0361,0.201,0.561,82.738,4
spotify:track:26MUmx3xqRz4fCTN2jBJWg,"יקירתי","אסף אמדורסקי","אסף אמדורסקי",2015-12-23,210373,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:42:49Z,"מזרחית","The Eight Note",0.635,0.314,2,-11.114,1,0.0315,0.0183,0.000906,0.11,0.139,130.171,4
spotify:track:3TUApDL7cGoDiQ80QO47T8,"אהבה","עד הקצה","דנה ברגר",2000-04-02,252373,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:44:08Z,"","NMC United Entertainment Ltd.",0.651,0.57,1,-6.145,0,0.0422,0.105,0.0000105,0.0954,0.284,98.885,4
spotify:track:0UMo7B4w0lZzsQIlj2OIFh,"מכה אפורה","פצעים ונשיקות","מוניקה סקס",1995-02-01,223160,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:44:20Z,"","Hed Arzi Ltd.",0.561,0.67,11,-9.373,0,0.0369,0.0666,0.000144,0.352,0.624,141.784,4
spotify:track:1PjkRn9UTw103jcWhQJEI3,"כולם יודעים","קרוב","אהוד בנאי",1989-09-01,216000,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:45:40Z,"מזרחית","NMC United Entertainment Ltd.",0.691,0.488,5,-12.092,0,0.0302,0.683,0,0.102,0.86,122.939,5
spotify:track:57MnOfC2k8G1wzoSWLzPvn,"בכל פעם שאני מתאהב (בך מחדש)","הלילות שלנו - האוסף","יזהר אשדות",2007-03-07,243560,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:45:54Z,"","NMC United Entertainment Ltd.",0.626,0.834,9,-6.261,1,0.0269,0.00433,0.000146,0.259,0.833,100.012,4
spotify:track:7bmSMVlRLT7NOX2qQHQIDQ,"קשה בלעדיך","קולנוע","שרון ליפשיץ",1985-01-01,240826,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:46:39Z,"","Hed Arzi Ltd.",0.539,0.127,3,-17.553,1,0.0394,0.778,0.0000027,0.0986,0.226,147.316,4
spotify:track:3u5tCnRZ2c72ZEj8myQg1T,"אלה","דפנה ארמוני","דפנה ארמוני",1986-09-01,202000,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:49:06Z,"","NMC United Entertainment Ltd.",0.525,0.0667,8,-15.885,0,0.0352,0.605,0,0.0783,0.111,83.888,4
spotify:track:15UmT9W65ccmBbdjFRRqmE,"דרך הכורכר","אריק סיני","אריק סיני",1980-04-01,268840,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:49:18Z,"מזרחית","NMC United Entertainment Ltd.",0.452,0.614,5,-9.776,1,0.0343,0.0149,0.000252,0.137,0.74,185.688,4
spotify:track:3kIaTTKtidBKbvMbTm46hw,"טרמינל לומינלט","שירי חג ומועד ונופל","מאיר אריאל",1979-03-01,268066,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:49:29Z,"","NMC United Entertainment Ltd.",0.581,0.578,4,-13.492,0,0.0584,0.642,0,0.278,0.829,109.586,4
spotify:track:7pToPOGLh4i2K1qilZInfj,"מיקה","גשם אחרון - השירים היפים של יאיר רוזנבלום","אפרים שמיר",1996-01-09,257573,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:49:50Z,"","Hed Arzi Ltd.",0.532,0.398,4,-9.978,0,0.0248,0.806,0,0.131,0.333,106.809,4
spotify:track:5YCNuoXAzgj2vzXKE0sEkI,"דרך המשי","דרך המשי","יהודית רביץ",1984-08-01,265000,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:50:32Z,"מזרחית","NMC United Entertainment Ltd.",0.747,0.264,11,-14.975,0,0.0287,0.54,0,0.0457,0.245,108.248,4
spotify:track:3ocBsaz2wiPvc4UZ2iZwoK,"זה כל הקסם","אין חלום אחר","נמרוד לב;Orli Perl",1998-01-01,351973,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:50:43Z,"","Hed Arzi Ltd",0.519,0.509,9,-7.595,1,0.0278,0.261,0.000138,0.202,0.119,125.554,4
spotify:track:1wj4SortdOL1UlVaN5xInx,"חצבים פורחים - Original Version","למתחילים, למתקדמים, לאספנים בלבד","תיסלם",2009-06-03,165306,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:55:37Z,"","NMC United Entertainment Ltd.",0.887,0.817,2,-7.597,1,0.0312,0.0684,0.0215,0.107,0.969,129.586,4
spotify:track:2R7mZKsI1n5lnyZiNmjs73,"נשל הנחש","ירוקות","מאיר אריאל",1988-03-01,427440,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:55:49Z,"","NMC United Entertainment Ltd.",0.576,0.328,6,-14.515,0,0.0376,0.305,0.00000507,0.147,0.246,77.878,4
spotify:track:3m07U0RlTRONkweZbYrosm,"מליארד טועים","זה רק אור הירח","אביב גפן",1992-05-28,182826,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:56:06Z,"מזרחית","NMC United Entertainment Ltd.",0.431,0.351,7,-14.336,1,0.0272,0.158,0.00000307,0.0726,0.315,166.934,4
spotify:track:3A9i4I8dU8VCuZsYXrT2Dg,"סיבה טובה","צל כבד","אריק סיני",1981-07-01,253413,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:56:15Z,"מזרחית","NMC United Entertainment Ltd.",0.494,0.799,0,-10.576,1,0.0316,0.00911,0.419,0.243,0.567,125.291,4
spotify:track:65Hhxo62bbNbEAtZPCzo0n,"בגילגול הזה","בגלגול הזה","שלום חנוך",1991-03-01,277520,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:57:13Z,"מזרחית","NMC United Entertainment Ltd.",0.715,0.787,9,-5.774,1,0.043,0.207,0.00000141,0.182,0.768,112.129,4
spotify:track:58JqqWVqla8jn4S8EBinrY,"פחות אבל כואב","פחות אבל כואב","יהודה פוליקר",1990-12-01,288826,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:57:24Z,"מזרחית","NMC United Entertainment Ltd.",0.582,0.619,2,-9.97,1,0.0277,0.303,0.000942,0.321,0.426,108.232,4
spotify:track:1u49Oz4PI7M47UMBKEJ1nL,"תגידי","תתארו לכם - אוסף משולש","שלמה ארצי",2013-03-10,231733,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:57:34Z,"מזרחית","Hed Arzi Ltd",0.422,0.268,6,-9.376,0,0.0312,0.94,0.0000217,0.139,0.213,127.687,4
spotify:track:0eJtF4lftSF3QF1cfwzB9f,"בלוז מדרגות הרבנות","המיטב","הכל עובר חביבי",2009-08-01,227933,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:58:51Z,"","Hed Arzi Ltd",0.646,0.793,6,-6.764,1,0.188,0.774,0,0.717,0.682,111.778,4
spotify:track:3HbP7Qyt6SvOXsm0lr7f1K,"יש לי סימפטיה","סימפטיה","נורית גלרון",1982-11-01,248893,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:59:10Z,"מזרחית","NMC United Entertainment Ltd.",0.631,0.303,7,-14.92,0,0.0364,0.386,0,0.244,0.399,115.944,4
spotify:track:0XtUWHM5enaXgdiAsMzvIz,"אוהבת אותך, עוזבת אותך","דפנה ארמוני","דפנה ארמוני",1986-09-01,335000,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:59:41Z,"","NMC United Entertainment Ltd.",0.655,0.464,7,-13.182,1,0.0302,0.143,0,0.0638,0.475,83.879,4
spotify:track:6L2WLxgzYQ7q3W2U9z2nhR,"נגד הרוח","המיטב","שלום חנוך",2006-01-18,344333,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T06:59:54Z,"מזרחית","NMC United Entertainment Ltd.",0.6,0.504,9,-11.387,1,0.0289,0.34,0.000074,0.161,0.614,105.731,4
spotify:track:7DCm3HPwj2RGpxG9TL6FIn,"האשה שאיתי","האשה שאיתי","דויד ברוזה",1983-02-01,403466,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T07:01:34Z,"מזרחית,Anti-folk","NMC United Entertainment Ltd.",0.479,0.546,1,-11.724,0,0.0348,0.207,0.0101,0.0855,0.311,83.27,4
